horizontal,vertical,label,movement_type
1.39,0.01,2,P
1.39,0.01,2,P
1.4,0.01,2,P
1.42,0.0,2,P
1.44,0.0,2,P
1.44,0.0,2,P
1.46,0.0,2,P
1.46,0.0,2,P
1.43,0.01,2,P
1.43,0.01,2,P
1.45,0.01,2,P
1.44,0.01,2,P
1.44,0.01,2,P
1.46,0.0,2,P
1.47,0.0,2,P
1.47,0.01,2,P
1.47,0.01,2,P
1.47,0.01,2,P
1.46,0.03,2,P
1.45,0.03,2,P
1.46,0.03,2,P
1.45,0.05,2,P
1.44,0.06,2,P
1.46,0.03,2,P
1.45,0.03,2,P
1.45,0.07,2,P
1.45,0.08,2,P
1.46,0.07,2,P
1.44,0.15,2,P
1.45,0.21,2,P
1.46,0.18,2,P
1.46,0.26,2,P
1.44,0.37,2,P
1.44,0.39,2,P
1.42,0.44,2,P
1.4,0.61,2,P
1.38,0.68,2,P
1.38,0.69,2,P
1.37,0.82,2,P
1.36,0.92,2,P
1.35,0.91,2,P
1.33,0.99,2,P
1.31,1.12,2,P
1.31,1.12,2,P
1.3,1.15,2,P
1.28,1.27,2,P
1.3,1.29,2,P
1.3,1.26,2,P
1.29,1.34,2,P
1.28,1.38,2,P
1.29,1.32,2,P
1.27,1.34,2,P
1.27,1.42,2,P
1.27,1.37,2,P
1.28,1.35,2,P
1.26,1.43,2,P
1.28,1.41,2,P
1.29,1.35,2,P
1.28,1.4,2,P
1.29,1.43,2,P
1.3,1.35,2,P
1.29,1.38,2,P
1.29,1.45,2,P
1.31,1.4,2,P
1.31,1.37,2,P
1.31,1.45,2,P
1.33,1.44,2,P
1.35,1.37,2,P
1.32,1.43,2,P
1.32,1.45,2,P
1.34,1.37,2,P
1.32,1.39,2,P
1.31,1.46,2,P
1.33,1.4,2,P
1.32,1.37,2,P
1.31,1.45,2,P
1.33,1.42,2,P
1.34,1.35,2,P
1.32,1.4,2,P
1.34,1.43,2,P
1.35,1.34,2,P
1.35,1.35,2,P
1.33,1.42,2,P
1.35,1.36,2,P
1.33,1.32,2,P
1.31,1.4,2,P
1.31,1.38,2,P
1.34,1.31,2,P
1.32,1.37,2,P
1.33,1.39,2,P
1.33,1.31,2,P
1.33,1.33,2,P
1.3,1.4,2,P
1.34,1.33,2,P
1.34,1.3,2,P
1.34,1.39,2,P
1.34,1.36,2,P
1.36,1.29,2,P
1.32,1.35,2,P
1.32,1.38,2,P
1.34,1.29,2,P
1.33,1.31,2,P
1.33,1.38,2,P
1.35,1.32,2,P
1.36,1.29,2,P
1.35,1.37,2,P
1.37,1.34,2,P
1.4,1.28,2,P
1.4,1.33,2,P
1.38,1.36,2,P
1.38,1.28,2,P
1.37,1.3,2,P
1.35,1.37,2,P
1.34,1.3,2,P
1.35,1.27,2,P
1.34,1.35,2,P
1.33,1.33,2,P
1.34,1.26,2,P
1.33,1.33,2,P
1.33,1.36,2,P
1.34,1.27,2,P
1.34,1.28,2,P
1.34,1.34,2,P
1.34,1.28,2,P
1.35,1.25,2,P
1.33,1.33,2,P
1.35,1.31,2,P
1.35,1.24,2,P
1.35,1.31,2,P
1.34,1.33,2,P
1.36,1.24,2,P
1.34,1.26,2,P
1.33,1.32,2,P
1.35,1.25,2,P
1.35,1.23,2,P
1.34,1.31,2,P
1.35,1.28,2,P
1.35,1.22,2,P
1.34,1.28,2,P
1.34,1.3,2,P
1.35,1.21,2,P
1.35,1.23,2,P
1.36,1.3,2,P
1.38,1.23,2,P
1.37,1.2,2,P
1.37,1.28,2,P
1.37,1.25,2,P
1.37,1.18,2,P
1.35,1.24,2,P
1.35,1.26,2,P
1.36,1.18,2,P
1.36,1.2,2,P
1.35,1.26,2,P
1.38,1.19,2,P
1.37,1.16,2,P
1.36,1.23,2,P
1.37,1.2,2,P
1.37,1.12,2,P
1.35,1.17,2,P
1.37,1.17,2,P
1.38,1.06,2,P
1.37,1.06,2,P
1.37,1.09,2,P
1.39,0.97,2,P
1.39,0.89,2,P
1.38,0.92,2,P
1.39,0.85,2,P
1.39,0.75,2,P
1.37,0.79,2,P
1.37,0.81,2,P
1.36,0.73,2,P
1.34,0.77,2,P
1.33,0.86,2,P
1.34,0.82,2,P
1.33,0.83,2,P
1.33,0.94,2,P
1.35,0.94,2,P
1.36,0.91,2,P
1.34,0.99,2,P
1.34,1.03,2,P
1.35,0.97,2,P
1.34,1.01,2,P
1.34,1.09,2,P
1.35,1.04,2,P
1.35,1.03,2,P
1.35,1.12,2,P
1.36,1.1,2,P
1.36,1.04,2,P
1.35,1.12,2,P
1.36,1.14,2,P
1.37,1.07,2,P
1.36,1.11,2,P
1.36,1.18,2,P
1.38,1.11,2,P
1.37,1.1,2,P
1.37,1.18,2,P
1.38,1.16,2,P
1.4,1.1,2,P
1.37,1.18,2,P
1.37,1.2,2,P
1.38,1.12,2,P
1.37,1.15,2,P
1.35,1.21,2,P
1.38,1.14,2,P
1.38,1.13,2,P
1.37,1.21,2,P
1.38,1.18,2,P
1.39,1.12,2,P
1.38,1.19,2,P
1.38,1.21,2,P
1.39,1.13,2,P
1.39,1.16,2,P
1.38,1.22,2,P
1.4,1.15,2,P
1.4,1.13,2,P
1.39,1.21,2,P
1.41,1.18,2,P
1.42,1.12,2,P
1.4,1.19,2,P
1.41,1.21,2,P
1.41,1.13,2,P
1.41,1.16,2,P
1.4,1.22,2,P
1.42,1.15,2,P
1.42,1.13,2,P
1.41,1.21,2,P
1.41,1.18,2,P
1.42,1.12,2,P
1.4,1.19,2,P
1.41,1.21,2,P
1.42,1.13,2,P
1.41,1.16,2,P
1.4,1.22,2,P
1.42,1.15,2,P
1.41,1.13,2,P
1.41,1.21,2,P
1.43,1.18,2,P
1.45,1.12,2,P
1.43,1.19,2,P
1.43,1.21,2,P
1.44,1.12,2,P
1.43,1.16,2,P
1.42,1.22,2,P
1.43,1.15,2,P
1.43,1.14,2,P
1.42,1.22,2,P
1.44,1.19,2,P
1.47,1.13,2,P
1.47,1.2,2,P
1.47,1.21,2,P
1.48,1.13,2,P
1.45,1.16,2,P
1.43,1.22,2,P
1.44,1.16,2,P
1.43,1.14,2,P
1.44,1.22,2,P
1.46,1.19,2,P
1.48,1.12,2,P
1.46,1.2,2,P
1.47,1.21,2,P
1.49,1.12,2,P
1.48,1.16,2,P
1.46,1.22,2,P
1.49,1.15,2,P
1.49,1.13,2,P
1.46,1.21,2,P
1.49,1.18,2,P
1.49,1.11,2,P
1.47,1.18,2,P
1.46,1.19,2,P
1.47,1.11,2,P
1.43,1.15,2,P
1.43,1.21,2,P
1.44,1.14,2,P
1.42,1.13,2,P
1.41,1.21,2,P
1.44,1.18,2,P
1.45,1.12,2,P
1.46,1.19,2,P
1.47,1.2,2,P
1.48,1.12,2,P
1.47,1.15,2,P
1.47,1.22,2,P
1.46,1.14,2,P
1.44,1.12,2,P
1.46,1.21,2,P
1.47,1.17,2,P
1.45,1.11,2,P
1.42,1.18,2,P
1.44,1.19,2,P
1.43,1.1,2,P
1.42,1.14,2,P
1.42,1.21,2,P
1.45,1.13,2,P
1.43,1.12,2,P
1.41,1.21,2,P
1.42,1.17,2,P
1.43,1.1,2,P
1.39,1.18,2,P
1.4,1.19,2,P
1.39,1.1,2,P
1.38,1.14,2,P
1.37,1.2,2,P
1.39,1.12,2,P
1.39,1.1,2,P
1.37,1.19,2,P
1.35,1.15,2,P
1.36,1.09,2,P
1.34,1.17,2,P
1.34,1.18,2,P
1.35,1.09,2,P
1.38,1.13,2,P
1.38,1.2,2,P
1.39,1.11,2,P
1.4,1.1,2,P
1.39,1.19,2,P
1.39,1.15,2,P
1.4,1.09,2,P
1.38,1.18,2,P
1.38,1.19,2,P
1.4,1.1,2,P
1.4,1.14,2,P
1.39,1.2,2,P
1.44,1.11,2,P
1.42,1.1,2,P
1.43,1.19,2,P
1.41,1.15,2,P
1.4,1.08,2,P
1.33,1.16,2,P
1.33,1.17,2,P
1.34,1.09,2,P
1.33,1.12,2,P
1.34,1.19,2,P
1.4,1.11,2,P
1.42,1.1,2,P
1.42,1.19,2,P
1.41,1.15,2,P
1.41,1.08,2,P
1.39,1.16,2,P
1.4,1.16,2,P
1.42,1.07,2,P
1.43,1.11,2,P
1.43,1.17,2,P
1.45,1.09,2,P
1.46,1.07,2,P
1.43,1.14,2,P
1.45,1.09,2,P
1.5,1.01,2,P
1.47,1.04,2,P
1.44,1.01,2,P
1.49,0.89,2,P
1.51,0.91,2,P
1.44,0.94,2,P
1.51,0.87,2,P
1.58,0.86,2,P
1.59,0.96,2,P
1.59,0.91,2,P
1.67,0.87,2,P
1.57,0.91,2,P
1.57,0.9,2,P
1.57,0.82,2,P
1.53,0.85,2,P
1.49,0.92,2,P
1.57,0.87,2,P
1.52,0.87,2,P
1.55,0.97,2,P
1.64,0.94,2,P
1.66,0.88,2,P
1.54,0.95,2,P
1.56,0.98,2,P
1.49,0.85,2,P
1.4,0.91,2,P
1.45,1.01,2,P
1.52,0.96,2,P
1.56,0.94,2,P
1.62,1.07,2,P
1.68,1.03,2,P
1.63,0.97,2,P
1.62,1.04,2,P
1.62,1.09,2,P
1.57,1.0,2,P
1.52,1.06,2,P
1.56,1.12,2,P
1.6,1.06,2,P
1.53,1.04,2,P
1.54,1.14,2,P
1.62,1.13,2,P
1.59,1.05,2,P
1.52,1.13,2,P
1.51,1.13,2,P
1.55,1.05,2,P
1.56,1.06,2,P
1.54,1.13,2,P
1.61,1.05,2,P
1.69,1.07,2,P
1.65,1.17,2,P
1.57,1.13,2,P
1.62,1.08,2,P
1.64,1.17,2,P
1.65,1.17,2,P
1.61,1.04,2,P
1.67,1.1,2,P
1.64,1.16,2,P
1.64,1.1,2,P
1.62,1.09,2,P
1.68,1.21,2,P
1.67,1.16,2,P
1.63,1.1,2,P
1.6,1.15,2,P
1.59,1.17,2,P
1.61,1.08,2,P
1.63,1.13,2,P
1.68,1.18,2,P
1.69,1.13,2,P
