horizontal,vertical,label,movement_type
1.95,0.97,2,L
1.95,1.1,2,L
1.95,1.03,2,L
1.94,0.93,2,L
1.94,1.06,2,L
1.95,1.07,2,L
1.95,0.93,2,L
1.95,1.0,2,L
1.96,1.09,2,L
1.96,0.95,2,L
1.95,0.95,2,L
1.95,1.08,2,L
1.95,1.01,2,L
1.93,0.92,2,L
1.93,1.05,2,L
1.93,1.06,2,L
1.93,0.92,2,L
1.93,1.0,2,L
1.94,1.08,2,L
1.94,0.95,2,L
1.93,0.94,2,L
1.94,1.08,2,L
1.94,1.0,2,L
1.92,0.91,2,L
1.92,1.04,2,L
1.93,1.04,2,L
1.92,0.91,2,L
1.91,0.98,2,L
1.93,1.07,2,L
1.93,0.93,2,L
1.91,0.92,2,L
1.92,1.05,2,L
1.92,0.98,2,L
1.9,0.89,2,L
1.9,1.02,2,L
1.91,1.02,2,L
1.9,0.89,2,L
1.89,0.96,2,L
1.91,1.05,2,L
1.91,0.91,2,L
1.9,0.91,2,L
1.91,1.04,2,L
1.91,0.96,2,L
1.89,0.87,2,L
1.89,1.0,2,L
1.89,1.0,2,L
1.88,0.88,2,L
1.87,0.95,2,L
1.88,1.03,2,L
1.88,0.9,2,L
1.87,0.89,2,L
1.87,1.02,2,L
1.87,0.94,2,L
1.85,0.86,2,L
1.85,1.0,2,L
1.86,0.99,2,L
1.85,0.86,2,L
1.84,0.94,2,L
1.86,1.01,2,L
1.85,0.88,2,L
1.83,0.88,2,L
1.84,1.01,2,L
1.84,0.93,2,L
1.83,0.85,2,L
1.84,0.98,2,L
1.84,0.97,2,L
1.82,0.84,2,L
1.8,0.91,2,L
1.78,0.98,2,L
1.74,0.83,2,L
1.7,0.82,2,L
1.67,0.94,2,L
1.63,0.85,2,L
1.57,0.75,2,L
1.53,0.87,2,L
1.5,0.85,2,L
1.46,0.71,2,L
1.42,0.77,2,L
1.4,0.83,2,L
1.37,0.68,2,L
1.33,0.68,2,L
1.32,0.79,2,L
1.31,0.71,2,L
1.28,0.62,2,L
1.27,0.75,2,L
1.27,0.75,2,L
1.26,0.62,2,L
1.25,0.69,2,L
1.27,0.77,2,L
1.27,0.63,2,L
1.27,0.64,2,L
1.28,0.77,2,L
1.29,0.69,2,L
1.27,0.61,2,L
1.27,0.74,2,L
1.27,0.74,2,L
1.26,0.62,2,L
1.25,0.7,2,L
1.27,0.77,2,L
1.27,0.64,2,L
1.26,0.64,2,L
1.28,0.77,2,L
1.29,0.69,2,L
1.27,0.61,2,L
1.27,0.75,2,L
1.28,0.74,2,L
1.27,0.61,2,L
1.27,0.69,2,L
1.28,0.76,2,L
1.28,0.62,2,L
1.27,0.63,2,L
1.28,0.76,2,L
1.29,0.68,2,L
1.28,0.61,2,L
1.28,0.74,2,L
1.3,0.74,2,L
1.28,0.61,2,L
1.27,0.69,2,L
1.28,0.77,2,L
1.26,0.63,2,L
1.24,0.65,2,L
1.24,0.78,2,L
1.24,0.7,2,L
1.23,0.63,2,L
1.23,0.77,2,L
1.24,0.76,2,L
1.23,0.63,2,L
1.23,0.71,2,L
1.24,0.79,2,L
1.24,0.65,2,L
1.23,0.66,2,L
1.24,0.79,2,L
1.25,0.71,2,L
1.24,0.64,2,L
1.24,0.77,2,L
1.25,0.76,2,L
1.25,0.64,2,L
1.24,0.72,2,L
1.26,0.79,2,L
1.26,0.65,2,L
1.24,0.66,2,L
1.25,0.79,2,L
1.26,0.7,2,L
1.24,0.64,2,L
1.24,0.78,2,L
1.26,0.77,2,L
1.26,0.64,2,L
1.25,0.73,2,L
1.27,0.8,2,L
1.28,0.66,2,L
1.27,0.67,2,L
1.28,0.8,2,L
1.29,0.71,2,L
1.27,0.64,2,L
1.28,0.78,2,L
1.29,0.77,2,L
1.29,0.64,2,L
1.28,0.73,2,L
1.31,0.8,2,L
1.3,0.66,2,L
1.29,0.67,2,L
1.3,0.79,2,L
1.31,0.71,2,L
1.29,0.64,2,L
1.3,0.77,2,L
1.32,0.76,2,L
1.31,0.64,2,L
1.3,0.72,2,L
1.31,0.79,2,L
1.31,0.65,2,L
1.3,0.66,2,L
1.31,0.79,2,L
1.32,0.7,2,L
1.3,0.64,2,L
1.31,0.77,2,L
1.32,0.75,2,L
1.32,0.63,2,L
1.32,0.72,2,L
1.33,0.79,2,L
1.33,0.65,2,L
1.32,0.67,2,L
1.33,0.79,2,L
1.34,0.7,2,L
1.33,0.64,2,L
1.33,0.78,2,L
1.34,0.76,2,L
1.34,0.64,2,L
1.33,0.73,2,L
1.35,0.79,2,L
1.35,0.65,2,L
1.34,0.67,2,L
1.35,0.79,2,L
1.36,0.71,2,L
1.35,0.64,2,L
1.35,0.78,2,L
1.36,0.76,2,L
1.35,0.64,2,L
1.34,0.72,2,L
1.35,0.78,2,L
1.34,0.65,2,L
1.33,0.66,2,L
1.34,0.78,2,L
1.35,0.69,2,L
1.34,0.63,2,L
1.35,0.76,2,L
1.36,0.74,2,L
1.36,0.62,2,L
1.35,0.71,2,L
1.36,0.77,2,L
1.36,0.63,2,L
1.35,0.65,2,L
