horizontal,vertical,label,movement_type
1.68,1.41,2,D
1.65,1.49,2,D
1.66,1.5,2,D
1.68,1.43,2,D
1.66,1.47,2,D
1.65,1.53,2,D
1.68,1.47,2,D
1.67,1.47,2,D
1.66,1.54,2,D
1.68,1.51,2,D
1.69,1.46,2,D
1.66,1.53,2,D
1.68,1.53,2,D
1.7,1.47,2,D
1.68,1.51,2,D
1.67,1.55,2,D
1.69,1.49,2,D
1.68,1.49,2,D
1.66,1.56,2,D
1.68,1.52,2,D
1.69,1.47,2,D
1.66,1.54,2,D
1.67,1.54,2,D
1.69,1.47,2,D
1.67,1.5,2,D
1.66,1.54,2,D
1.69,1.47,2,D
1.68,1.46,2,D
1.66,1.53,2,D
1.68,1.5,2,D
1.7,1.45,2,D
1.67,1.52,2,D
1.68,1.53,2,D
1.69,1.46,2,D
1.68,1.5,2,D
1.67,1.54,2,D
1.7,1.47,2,D
1.69,1.47,2,D
1.67,1.54,2,D
1.69,1.5,2,D
1.69,1.45,2,D
1.66,1.52,2,D
1.67,1.52,2,D
1.69,1.45,2,D
1.67,1.48,2,D
1.66,1.53,2,D
1.69,1.46,2,D
1.68,1.45,2,D
1.67,1.51,2,D
1.69,1.47,2,D
1.7,1.42,2,D
1.67,1.48,2,D
1.68,1.49,2,D
1.69,1.43,2,D
1.67,1.46,2,D
1.67,1.5,2,D
1.7,1.43,2,D
1.69,1.42,2,D
1.68,1.48,2,D
1.7,1.44,2,D
1.7,1.39,2,D
1.67,1.46,2,D
1.68,1.46,2,D
1.69,1.39,2,D
1.67,1.42,2,D
1.66,1.46,2,D
1.68,1.39,2,D
1.68,1.38,2,D
1.66,1.44,2,D
1.69,1.4,2,D
1.7,1.35,2,D
1.67,1.42,2,D
1.69,1.42,2,D
1.7,1.35,2,D
1.68,1.39,2,D
1.67,1.42,2,D
1.7,1.34,2,D
1.69,1.31,2,D
1.67,1.35,2,D
1.69,1.28,2,D
1.7,1.19,2,D
1.67,1.22,2,D
1.68,1.18,2,D
1.7,1.08,2,D
1.68,1.08,2,D
1.67,1.08,2,D
1.7,0.98,2,D
1.69,0.95,2,D
1.68,0.98,2,D
1.69,0.92,2,D
1.7,0.85,2,D
1.67,0.9,2,D
1.67,0.88,2,D
1.68,0.8,2,D
1.66,0.83,2,D
1.65,0.87,2,D
1.67,0.78,2,D
1.66,0.78,2,D
1.64,0.85,2,D
1.66,0.82,2,D
1.67,0.78,2,D
1.64,0.86,2,D
1.65,0.86,2,D
1.67,0.8,2,D
1.65,0.84,2,D
1.65,0.88,2,D
1.67,0.82,2,D
1.66,0.83,2,D
1.64,0.91,2,D
1.66,0.88,2,D
1.66,0.84,2,D
1.63,0.91,2,D
1.65,0.91,2,D
1.66,0.84,2,D
1.64,0.88,2,D
1.64,0.92,2,D
1.67,0.86,2,D
1.66,0.86,2,D
1.65,0.93,2,D
1.67,0.89,2,D
1.67,0.84,2,D
1.64,0.91,2,D
1.65,0.9,2,D
1.66,0.83,2,D
1.65,0.87,2,D
1.65,0.92,2,D
1.67,0.86,2,D
1.66,0.86,2,D
1.65,0.93,2,D
1.67,0.9,2,D
1.67,0.86,2,D
1.64,0.93,2,D
1.65,0.94,2,D
1.67,0.88,2,D
1.65,0.92,2,D
1.65,0.96,2,D
1.67,0.9,2,D
1.66,0.91,2,D
1.65,0.97,2,D
1.66,0.94,2,D
1.66,0.89,2,D
1.63,0.95,2,D
1.65,0.94,2,D
1.66,0.88,2,D
1.64,0.91,2,D
1.64,0.95,2,D
1.66,0.89,2,D
1.65,0.9,2,D
1.64,0.96,2,D
1.66,0.92,2,D
1.66,0.88,2,D
1.63,0.94,2,D
1.65,0.94,2,D
1.66,0.87,2,D
1.64,0.91,2,D
1.64,0.97,2,D
1.67,0.9,2,D
1.66,0.91,2,D
1.65,0.99,2,D
1.67,0.96,2,D
1.67,0.92,2,D
1.64,0.99,2,D
1.65,0.99,2,D
1.67,0.92,2,D
1.65,0.96,2,D
1.65,1.01,2,D
1.68,0.95,2,D
1.67,0.96,2,D
1.65,1.03,2,D
1.68,0.99,2,D
1.68,0.95,2,D
1.65,1.02,2,D
1.67,1.01,2,D
1.68,0.95,2,D
1.66,1.0,2,D
1.66,1.05,2,D
1.69,0.98,2,D
1.68,0.99,2,D
1.67,1.06,2,D
1.69,1.03,2,D
1.69,0.99,2,D
1.66,1.06,2,D
1.68,1.06,2,D
1.69,1.0,2,D
1.67,1.05,2,D
1.67,1.1,2,D
1.69,1.03,2,D
1.67,1.04,2,D
1.66,1.12,2,D
1.69,1.08,2,D
1.69,1.05,2,D
1.67,1.12,2,D
1.68,1.12,2,D
1.7,1.06,2,D
1.67,1.1,2,D
1.67,1.15,2,D
1.7,1.08,2,D
1.7,1.09,2,D
1.69,1.17,2,D
1.71,1.13,2,D
1.71,1.09,2,D
1.68,1.16,2,D
1.69,1.16,2,D
1.71,1.1,2,D
1.69,1.14,2,D
1.69,1.19,2,D
1.72,1.12,2,D
1.71,1.13,2,D
1.69,1.2,2,D
1.71,1.16,2,D
1.71,1.12,2,D
1.69,1.19,2,D
1.7,1.19,2,D
1.72,1.14,2,D
1.7,1.18,2,D
1.7,1.23,2,D
1.72,1.16,2,D
1.71,1.17,2,D
1.69,1.23,2,D
1.72,1.2,2,D
1.72,1.16,2,D
1.69,1.24,2,D
1.71,1.25,2,D
1.72,1.19,2,D
1.7,1.24,2,D
1.7,1.27,2,D
1.72,1.2,2,D
1.71,1.21,2,D
1.7,1.28,2,D
1.73,1.25,2,D
1.72,1.22,2,D
1.7,1.3,2,D
1.72,1.29,2,D
1.73,1.23,2,D
1.71,1.27,2,D
1.72,1.31,2,D
1.74,1.24,2,D
1.72,1.25,2,D
1.7,1.31,2,D
1.72,1.28,2,D
1.72,1.25,2,D
1.69,1.33,2,D
1.71,1.33,2,D
1.72,1.27,2,D
1.7,1.31,2,D
1.7,1.35,2,D
1.73,1.29,2,D
1.72,1.3,2,D
1.7,1.38,2,D
1.72,1.34,2,D
1.72,1.31,2,D
1.69,1.38,2,D
1.7,1.37,2,D
1.72,1.31,2,D
1.7,1.35,2,D
1.7,1.4,2,D
1.73,1.34,2,D
1.72,1.35,2,D
1.7,1.42,2,D
1.73,1.38,2,D
1.72,1.34,2,D
1.69,1.42,2,D
1.71,1.41,2,D
1.72,1.35,2,D
1.7,1.39,2,D
1.7,1.43,2,D
1.73,1.37,2,D
1.71,1.38,2,D
1.7,1.45,2,D
1.72,1.41,2,D
1.71,1.38,2,D
1.69,1.45,2,D
1.7,1.44,2,D
1.71,1.38,2,D
1.69,1.42,2,D
1.69,1.47,2,D
1.71,1.4,2,D
1.69,1.42,2,D
1.67,1.49,2,D
1.69,1.45,2,D
1.69,1.41,2,D
1.67,1.49,2,D
1.69,1.48,2,D
1.71,1.42,2,D
1.69,1.48,2,D
1.69,1.52,2,D
1.72,1.45,3,D
1.7,1.46,3,D
1.68,1.52,3,D
1.71,1.48,3,D
1.7,1.45,3,D
1.68,1.52,3,D
1.69,1.51,3,D
1.7,1.45,3,D
1.67,1.5,3,D
1.68,1.54,3,D
1.7,1.47,3,D
1.69,1.48,3,D
1.68,1.55,3,D
1.7,1.51,3,D
1.69,1.47,3,D
1.67,1.54,3,D
1.68,1.54,3,D
1.69,1.48,3,D
1.67,1.53,3,D
1.68,1.57,3,D
1.7,1.5,3,D
1.69,1.5,3,D
1.68,1.57,3,D
1.7,1.52,3,D
1.69,1.48,3,D
1.66,1.55,3,D
1.68,1.55,3,D
1.69,1.49,3,D
1.67,1.54,3,D
1.67,1.57,3,D
1.7,1.5,3,D
1.68,1.51,3,D
1.66,1.57,3,D
1.69,1.53,3,D
1.68,1.5,3,D
1.66,1.56,3,D
1.68,1.56,3,D
1.69,1.5,3,D
1.67,1.55,3,D
1.67,1.58,3,D
1.7,1.52,3,D
1.69,1.52,3,D
1.67,1.57,3,D
1.7,1.53,3,D
1.69,1.49,3,D
1.67,1.56,3,D
1.68,1.56,3,D
1.69,1.5,3,D
1.66,1.54,3,D
1.66,1.58,3,D
1.68,1.5,3,D
1.66,1.51,3,D
1.65,1.57,3,D
1.67,1.52,3,D
1.67,1.49,3,D
1.64,1.56,3,D
1.65,1.54,3,D
1.67,1.48,3,D
1.65,1.52,3,D
1.65,1.55,3,D
1.67,1.48,3,D
1.66,1.49,3,D
1.64,1.55,3,D
1.66,1.51,3,D
1.65,1.47,3,D
1.63,1.54,3,D
1.64,1.53,3,D
1.65,1.47,3,D
1.63,1.5,3,D
1.64,1.54,3,D
1.66,1.47,3,D
1.65,1.48,3,D
1.63,1.53,3,D
1.65,1.48,3,D
1.64,1.45,3,D
1.62,1.51,3,D
1.63,1.5,3,D
1.64,1.44,3,D
1.62,1.48,3,D
1.62,1.52,3,D
1.65,1.44,3,D
1.63,1.45,3,D
1.61,1.51,3,D
1.64,1.46,3,D
1.63,1.43,3,D
1.6,1.5,3,D
1.62,1.48,3,D
1.63,1.42,3,D
1.61,1.46,3,D
1.61,1.49,3,D
1.63,1.42,3,D
1.62,1.43,3,D
1.6,1.49,3,D
1.63,1.45,3,D
1.62,1.41,3,D
1.59,1.47,3,D
1.61,1.46,3,D
1.62,1.4,3,D
1.59,1.45,3,D
1.6,1.48,3,D
1.62,1.41,3,D
1.61,1.41,3,D
1.59,1.47,3,D
1.61,1.42,3,D
1.61,1.38,3,D
1.58,1.45,3,D
1.6,1.44,3,D
1.61,1.37,3,D
1.58,1.41,3,D
1.59,1.44,3,D
1.61,1.36,3,D
1.59,1.37,3,D
1.58,1.43,3,D
1.61,1.38,3,D
1.6,1.34,3,D
1.58,1.41,3,D
1.59,1.4,3,D
1.6,1.33,3,D
1.57,1.38,3,D
1.57,1.41,3,D
1.59,1.33,3,D
1.58,1.35,3,D
1.57,1.4,3,D
1.59,1.35,3,D
1.58,1.32,3,D
1.55,1.38,3,D
1.57,1.37,3,D
1.58,1.3,3,D
1.56,1.34,3,D
1.57,1.37,3,D
1.59,1.29,3,D
1.57,1.29,3,D
1.55,1.35,3,D
1.57,1.3,3,D
1.56,1.27,3,D
1.53,1.34,3,D
1.54,1.33,3,D
1.55,1.27,3,D
1.52,1.31,3,D
1.53,1.33,3,D
1.55,1.25,3,D
1.53,1.26,3,D
1.52,1.32,3,D
1.54,1.27,3,D
1.54,1.23,3,D
1.51,1.3,3,D
1.52,1.28,3,D
1.54,1.21,3,D
1.51,1.25,3,D
1.51,1.28,3,D
1.53,1.21,3,D
1.52,1.22,3,D
1.5,1.28,3,D
1.53,1.22,3,D
1.53,1.19,3,D
1.51,1.25,3,D
1.52,1.23,3,D
1.54,1.16,3,D
1.51,1.21,3,D
1.52,1.24,3,D
1.54,1.17,3,D
1.52,1.18,3,D
1.51,1.23,3,D
1.53,1.18,3,D
1.53,1.15,3,D
1.5,1.21,3,D
1.52,1.2,3,D
1.53,1.13,3,D
1.51,1.18,3,D
1.52,1.2,3,D
1.54,1.12,3,D
1.52,1.13,3,D
1.51,1.19,3,D
1.54,1.14,3,D
1.53,1.11,3,D
1.51,1.18,3,D
1.52,1.17,3,D
1.54,1.1,3,D
1.52,1.14,3,D
1.52,1.17,3,D
1.54,1.1,3,D
1.52,1.11,3,D
1.5,1.17,3,D
1.52,1.11,3,D
1.51,1.08,3,D
1.48,1.15,3,D
1.49,1.13,3,D
1.5,1.06,3,D
1.47,1.1,3,D
1.48,1.13,3,D
1.5,1.06,3,D
1.49,1.07,3,D
1.48,1.13,3,D
1.5,1.08,3,D
1.5,1.05,3,D
1.49,1.11,3,D
1.51,1.09,3,D
1.52,1.03,3,D
1.5,1.07,3,D
1.51,1.09,3,D
1.54,1.02,3,D
1.52,1.02,3,D
1.51,1.08,3,D
1.53,1.03,3,D
1.52,1.01,3,D
1.5,1.08,3,D
1.52,1.06,3,D
1.53,0.99,3,D
1.51,1.03,3,D
1.51,1.05,3,D
1.53,0.97,3,D
1.52,0.99,3,D
1.5,1.05,3,D
1.53,1.0,3,D
1.52,0.97,3,D
1.5,1.04,3,D
1.51,1.01,3,D
1.53,0.94,3,D
1.5,0.98,3,D
1.51,1.0,3,D
1.52,0.92,3,D
1.51,0.94,3,D
1.49,1.0,3,D
1.52,0.95,3,D
1.51,0.92,3,D
1.49,0.98,3,D
1.51,0.95,3,D
1.52,0.88,3,D
1.49,0.93,3,D
1.5,0.95,3,D
1.52,0.88,3,D
1.5,0.9,3,D
1.49,0.95,3,D
1.51,0.89,3,D
1.5,0.86,3,D
1.48,0.93,3,D
1.49,0.91,3,D
1.5,0.85,3,D
1.48,0.89,3,D
1.48,0.92,3,D
1.5,0.84,3,D
1.48,0.85,3,D
1.47,0.91,3,D
1.49,0.85,3,D
1.49,0.82,3,D
1.46,0.89,3,D
1.48,0.87,3,D
1.49,0.81,3,D
1.47,0.85,3,D
1.48,0.87,3,D
1.5,0.8,3,D
1.49,0.81,3,D
1.47,0.87,3,D
1.49,0.82,3,D
1.48,0.79,3,D
1.46,0.85,3,D
1.48,0.82,3,D
1.49,0.75,3,D
1.46,0.79,3,D
1.47,0.81,3,D
1.48,0.74,3,D
1.46,0.76,3,D
1.45,0.82,3,D
1.47,0.76,3,D
1.47,0.73,3,D
1.45,0.8,3,D
1.47,0.77,3,D
1.48,0.71,3,D
1.46,0.76,3,D
1.47,0.79,3,D
1.49,0.72,3,D
1.47,0.76,3,D
1.46,0.82,3,D
1.49,0.79,3,D
1.48,0.77,3,D
1.46,0.85,3,D
1.48,0.84,3,D
1.5,0.79,3,D
1.47,0.86,3,D
1.48,0.9,3,D
1.5,0.85,3,D
1.49,0.89,3,D
1.47,0.97,3,D
1.5,0.94,3,D
1.49,0.93,3,D
1.47,1.01,3,D
1.49,1.0,3,D
1.5,0.96,3,D
1.47,1.02,3,D
1.48,1.05,3,D
1.5,0.99,3,D
1.48,1.03,3,D
1.47,1.1,3,D
1.5,1.06,3,D
1.49,1.05,3,D
1.47,1.13,3,D
1.49,1.11,3,D
1.49,1.06,3,D
1.47,1.12,3,D
1.47,1.14,3,D
1.49,1.08,3,D
1.48,1.1,3,D
1.47,1.16,3,D
1.49,1.11,3,D
1.49,1.08,3,D
1.47,1.15,3,D
1.48,1.13,3,D
1.5,1.07,3,D
1.47,1.13,3,D
1.48,1.15,3,D
1.5,1.08,3,D
1.49,1.1,3,D
1.48,1.16,3,D
1.51,1.1,3,D
1.5,1.07,3,D
1.48,1.13,3,D
1.5,1.11,3,D
1.51,1.05,3,D
1.48,1.1,3,D
1.49,1.13,3,D
1.51,1.06,3,D
1.5,1.08,3,D
1.48,1.14,3,D
1.51,1.07,3,D
1.5,1.04,3,D
1.48,1.11,3,D
1.5,1.09,3,D
1.52,1.03,3,D
1.49,1.09,3,D
1.5,1.12,3,D
1.51,1.05,3,D
1.5,1.07,3,D
1.48,1.12,3,D
1.5,1.06,3,D
1.49,1.04,3,D
1.47,1.11,3,D
1.49,1.09,3,D
1.5,1.03,3,D
1.47,1.08,3,D
1.48,1.11,3,D
1.5,1.03,3,D
1.49,1.04,3,D
1.48,1.1,3,D
1.5,1.04,3,D
1.5,1.01,3,D
1.48,1.08,3,D
1.49,1.05,3,D
1.5,1.0,3,D
1.47,1.05,3,D
1.48,1.07,3,D
1.5,0.99,3,D
1.48,1.01,3,D
1.46,1.07,3,D
1.49,1.01,3,D
1.49,0.99,3,D
1.48,1.06,3,D
1.5,1.04,3,D
1.52,0.99,3,D
1.49,1.05,3,D
1.5,1.07,3,D
1.51,1.0,3,D
1.5,1.02,3,D
1.49,1.07,3,D
1.52,1.01,3,D
1.52,0.98,3,D
1.51,1.05,3,D
1.52,1.03,3,D
1.54,0.97,3,D
1.51,1.02,3,D
1.51,1.04,3,D
1.53,0.96,3,D
1.52,0.97,3,D
1.5,1.03,3,D
1.53,0.96,3,D
1.52,0.93,3,D
1.5,1.0,3,D
1.51,0.97,3,D
1.52,0.92,3,D
1.5,0.97,3,D
1.51,0.98,3,D
1.53,0.91,3,D
1.51,0.93,3,D
1.5,0.99,3,D
1.53,0.93,3,D
1.52,0.91,3,D
1.5,0.97,3,D
1.52,0.94,3,D
1.53,0.87,3,D
1.5,0.89,3,D
1.51,0.89,3,D
1.54,0.79,3,D
1.53,0.78,3,D
1.52,0.8,3,D
1.56,0.71,3,D
1.55,0.64,3,D
1.53,0.67,3,D
1.54,0.61,3,D
1.56,0.52,3,D
1.52,0.54,3,D
1.53,0.53,3,D
1.55,0.43,3,D
1.53,0.42,3,D
1.52,0.44,3,D
1.55,0.36,3,D
1.54,0.32,3,D
1.53,0.37,3,D
1.54,0.34,3,D
1.55,0.27,3,D
1.52,0.32,3,D
1.52,0.33,3,D
1.53,0.25,3,D
1.51,0.26,3,D
1.49,0.3,3,D
1.52,0.24,3,D
1.51,0.22,3,D
1.49,0.29,3,D
1.51,0.27,3,D
1.52,0.23,3,D
1.49,0.28,3,D
1.5,0.3,3,D
1.51,0.23,3,D
1.5,0.25,3,D
1.49,0.31,3,D
1.52,0.26,3,D
